Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL LINDEIA,31361976,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOS PINHOS, 91 LINDEIA. 30690-440 Belo Horizonte - MG.",(31) 32779100,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.97737,-44.05105
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MANTIQUEIRA,31361984,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ARAMITA FRANCISCA DOS SANTOS, 88 MANTIQUEIRA. 31655-300 Belo Horizonte - MG.",(31) 32779488,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.78824587,-43.97835058
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MARIA GORETTI,31361992,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA BARREIRO GRANDE, 495 MARIA GORETTI. 31930-520 Belo Horizonte - MG.",(31) 32469565,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.8612,-43.9084
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MONTE AZUL,31362018,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA AMELIA DE ALMEIDA, 10 MONTE AZUL. 31872-640 Belo Horizonte - MG.",(31) 32469568,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.81751673,-43.89357585
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL CAFEZAL,31362026,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA OLIEM BONFIM GUIMARAES, 237 NOSSA SENHORA DA CONCEICAO. 30260-640 Belo Horizonte - MG.",(31) 32465315,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-19.93567961,-43.91403975
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MARFIM,31362050,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ASSUMAR, 375 PINDORAMA. 30880-490 Belo Horizonte - MG.",(31) 32463026,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.907155,-44.02353333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL OURO PRETO,31362069,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA GERALDINA CANDIDA DE JESUS, 90 OURO PRETO. 31330-560 Belo Horizonte - MG.",(31) 32468062,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.87663422,-43.98803867
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MANACAS,31362077,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FRANCISCA SANTOS ANASTASIA, 860 PAQUETA. 30810-660 Belo Horizonte - MG.",(31) 32463033,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.8912037,-43.99111803
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PARQUE REAL,31362085,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA TRES MIL E SETENTA E QUATRO, 500 PAULO VI. 31995-354 Belo Horizonte - MG.",(31) 32468070,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.84158,-43.88821
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PLANALTO,31362093,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA LUIZ DE MELLO MATTOS, 215 PLANALTO. 31730-710 Belo Horizonte - MG.",(31) 32468058,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.83933474,-43.94525559
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SANTA BRANCA,31362107,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CAMPISTA, 70 SANTA MONICA. 31565-250 Belo Horizonte - MG.",(31) 32771595,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-19.83133,-43.96811
