Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UFMG - COLEGIO TECNICO,31000019,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA PRESIDENTE ANTONIO CARLOS, 6.627 PREDIO DO COLTEC. PAMPULHA. 31270-901 Belo Horizonte - MG.",(31) 34094962,Federal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-19.87174833,-43.963275
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE AARAO REIS,31000027,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JAYME SALES, 330 MADRE GERTRUDES. 30518-320 Belo Horizonte - MG.",(31) 33861218,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.94993833,-44.00523833
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE BUENO BRANDAO,31000035,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PARAIBA, 1145 FUNCIONARIOS. 30130-141 Belo Horizonte - MG.",(31) 32618475,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-19.9362411,-43.9330756
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE GUIA LOPES,31000051,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA BARAO DE CAMARGOS, 88 JARDIM INCONFIDENCIA. 30820-190 Belo Horizonte - MG.",(31) 34124400,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-19.9086404,-43.9946101
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PERO VAZ DE CAMINHA,31000060,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PACAJA, 200 CACHOEIRINHA. 31150-310 Belo Horizonte - MG.",(31) 34211288,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-19.8826324,-43.9454734
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE MAJOR DELFINO DE PAULA RICARDO,31000078,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA JOSE CLETO, 733 SANTA CRUZ. 31155-290 Belo Horizonte - MG.",(31) 34263500,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-19.87436,-43.93765
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSOR JOSE MESQUITA DE CARVALHO,31000086,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA IRAI, 154 VILA PARIS. 30380-640 Belo Horizonte - MG.",(31) 25524877,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.9481769,-43.94989
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,EE SANDRA RISOLETA DE LIMA HAUCK,31000108,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SACADURA CABRAL, 402 VILA OESTE. 30532-060 Belo Horizonte - MG.",(31) 33884943,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-19.9377887,-44.0053427
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE CABANA DO PAI TOMAS,31000116,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DA CHACARA, 132 CABANA. 30512-060 Belo Horizonte - MG.",(31) 33861277,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-19.9445399,-44.0017961
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DOUTOR SIMAO TAMM BIAS FORTES,31000124,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MARIA BEATRIZ, 1200 HAVAI. 30555-140 Belo Horizonte - MG.",(31) 33121399,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atividade Complementar,-19.95836,-43.97504
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE GUIMARAES ROSA,31000132,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA AVELAR, 10 PINDORAMA. 30865-530 Belo Horizonte - MG.",(31) 34732077,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atividade Complementar,-19.91209247,-44.02217696
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE MANUEL CASASANTA,31000159,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA GUILHERMINO ESTEVAO NASCIMENTO, 150 PALMEIRAS. 30570-740 Belo Horizonte - MG.",(31) 33122402,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",,-19.96398,-43.97938
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE MARIA DE LOURDES DE OLIVEIRA,31000175,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE ISIDORO DE MIRANDA, 140 MARIA GORETTI. 31930-540 Belo Horizonte - MG.",(31) 34322770,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atividade Complementar,-19.8624825,-43.9092733
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,EE DOUTOR AMARO NEVES BARRETO,31000183,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA XIMANGO, 280 FLAVIO MARQUES LISBOA. 30624-160 Belo Horizonte - MG.",(31) 33838569,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-19.9976024,-44.0032801
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE CAIO NELSON DE SENA,31000191,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ENGENHO DE DENTRO, 887 CAICARAS. 30775-480 Belo Horizonte - MG.",(31) 25519740,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-19.90138505,-43.97108084
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSORA FRANCISCA MALHEIROS,31000205,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA RONALD DE CARVALHO, 276 TUPI. 31840-000 Belo Horizonte - MG.",(31) 36581399,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-19.84001903,-43.91558134
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE HELENA PENA,31000213,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA GENOVEVA DE SOUZA, 691 SAGRADA FAMILIA. 31030-220 Belo Horizonte - MG.",(31) 34828833,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-19.9058471,-43.9253616
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PRESIDENTE ANTONIO CARLOS,31000221,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PASSA TEMPO, 600 CARMO SION. 30310-760 Belo Horizonte - MG.",(31) 32217655,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-19.9448382,-43.9339748
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE MARECHAL DEODORO DA FONSECA,31000230,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CAMPANARIO, 495 SANTA INES. 31080-180 Belo Horizonte - MG.",(31) 34824206,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-19.8868529,-43.9075675
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE SANTO AFONSO,31000248,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA BERNARDO VASCONCELOS, 1334 RENASCENCA. 31150-000 Belo Horizonte - MG.",(31) 34429111,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-19.8834789,-43.9395919
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE JOSE MIGUEL DO NASCIMENTO,31000256,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MARIA BEATRIZ, 90 NOVO INDUSTRIAS. 30610-270 Belo Horizonte - MG.",(31) 33316534,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-19.9757506,-43.9951977
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE AFONSO PENA,31000264,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA JOAO PINHEIRO, 450 CENTRO. 30130-180 Belo Horizonte - MG.",(31) 32223547,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-19.9290538,-43.9374893
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PADRE JOAO MARIA KOOYMAN,31000272,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PORTO VELHO, 1021 NOSSA SENHORA DO GLORIA. 30870-120 Belo Horizonte - MG.",(31) 34744263,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-19.9039186,-44.0100859
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE TECNICO INDUSTRIAL PROFESSOR FONTES,31000281,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SETE, S/N HORTO. 31035-536 Belo Horizonte - MG.",(31) 34862829,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-19.8857584,-43.9150789
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE HERMENEGILDO CHAVES,31000299,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA HERCULANO MOURAO SALAZAR, 105 VISTA ALEGRE. 30514-430 Belo Horizonte - MG.",(31) 33743082,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-19.9524518,-43.991669
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PRESIDENTE DUTRA,31000302,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SETE, S/N HORTO. 31035-536 Belo Horizonte - MG.",(31) 999572716,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-19.8867797,-43.9184958
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE MARGARIDA BROCHADO,31000311,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA BARAO DE COROMANDEL, 426 BARREIRO DE BAIXO. 30640-060 Belo Horizonte - MG.",(31) 33845010,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atividade Complementar,-19.9749659,-44.0171903
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE SANTOS ANJOS,31000329,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CATUMBI, 421 CAICARAS. 31230-070 Belo Horizonte - MG.",(31) 33472184,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-19.9035608,-43.9650223
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE JOSE MENDES JUNIOR,31000337,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOUTOR CAMILO ANTONIO NOGUEIRA, 578 SAO LUCAS. 30240-090 Belo Horizonte - MG.",(31) 32810818,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-19.9366687,-43.9137747
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSOR HILTON ROCHA,31000353,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA CRISTIANO MACHADO, 8200 PRIMEIRO DE MAIO. 31810-280 Belo Horizonte - MG.",(31) 34334885,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-19.85811,-43.93425
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE HENRIQUE DINIZ,31000370,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA TENENTE ANASTACIO DE MOURA, 280 SANTA EFIGENIA. 30240-390 Belo Horizonte - MG.",(31) 34633799,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atividade Complementar,-19.9219033,-43.915857
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE MARIANO DE ABREU,31000396,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SIMAO TAMM, 143 CACHOEIRINHA. 31130-250 Belo Horizonte - MG.",(31) 34420564,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-19.888793,-43.9450631
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE SAO BENTO,31000400,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DIORITA, 112 PRADO. 30411-084 Belo Horizonte - MG.",(31) 33349281,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-19.9198528,-43.9667607
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PRESIDENTE TANCREDO NEVES,31000418,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FURQUIM WERNECK, 313 TUPI. 31840-050 Belo Horizonte - MG.",(31) 34331520,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-19.84386,-43.919
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE ALBERTO DELPINO,31000426,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FRANCISCO DUARTE MENDONCA, 2282 BARREIRO DE BAIXO. 30640-460 Belo Horizonte - MG.",(31) 35677919,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,,-19.99200026,-44.01312344
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE CANDIDA CABRAL,31000434,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FREI LUIZ DE SOUZA, 481 JOAO PINHEIROS. 30530-310 Belo Horizonte - MG.",(31) 33751104,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",,-19.9283822,-44.002358
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DOM CABRAL,31000442,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SAO FELICISSIMO, 153 BETANIA. 30580-250 Belo Horizonte - MG.",(31) 33832700,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-19.96254721,-43.98844946
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE HUGO WERNECK,31000451,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOUTOR ZEFERINO MOTA, 115 SANTA MARIA. 30525-170 Belo Horizonte - MG.",(31) 33882388,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-19.9347638,-44.0088623
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PRINCESA ISABEL,31000469,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SANTA JUDITH, 565 APARECIDA. 31250-050 Belo Horizonte - MG.",(31) 34281214,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.8890062,-43.9604332
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE MARIETA BROCHADO,31000477,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA ABILIO MACHADO, 2085 GLORIA. 30830-373 Belo Horizonte - MG.",(31) 34742800,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-19.8975894,-44.0075589
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INSTITUTO SAO RAFAEL,31000485,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA AUGUSTO DE LIMA, 2109 BARRO PRETO. 30190-002 Belo Horizonte - MG.",(31) 32953221,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Educação Profissional",,-19.92035,-43.95512
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DEPUTADO ILACIR PEREIRA LIMA,31000493,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CONDE SANTA MARINHA, 707 CACHOEIRINHA. 31130-080 Belo Horizonte - MG.",(31) 34212016,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",,-19.89017,-43.94597
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DULCE PINTO RODRIGUES,31000507,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DONA CECILIA, 280 SERRA. 30220-070 Belo Horizonte - MG.",(31) 25123745,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-19.9381813,-43.9219664
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE CANDIDO PORTINARI,31000515,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CAMPINA VERDE, 0 SALGADO FILHO. 30550-340 Belo Horizonte - MG.",(31) 33121041,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atividade Complementar,-19.94285,-43.98724
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSOR AFFONSO NEVES,31000540,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA GUIMARAES, 900 SAO FRANCISCO. 31255-050 Belo Horizonte - MG.",(31) 34412877,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-19.87772,-43.96433
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE MARIO CASASSANTA,31000558,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CONSELHEIRO JOAQUIM CAETANO, 1499 NOVA GRANADA. 30431-320 Belo Horizonte - MG.",(31) 33347054,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-19.9466593,-43.9660469
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE SAO SALVADOR,31000566,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA AMINTAS JACQUES DE MORAIS, 85 GLORIA. 30880-133 Belo Horizonte - MG.",(31) 34743238,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-19.89534,-44.0116
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSOR ALISSON PEREIRA GUIMARAES,31000582,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOS ECONOMISTAS, 612 ALIPIO DE MELO. 30840-330 Belo Horizonte - MG.",(31) 34711642,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atividade Complementar,-19.8888571,-44.0052892
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE ALVARO LAUREANO PIMENTEL,31000591,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE OVIDIO GUERRA, 445 CARDOSO. 30626-660 Belo Horizonte - MG.",(31) 33836831,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atendimento Educacional Especializado,-20.00278,-44.00721
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DOMINGAS MARIA DE ALMEIDA,31000604,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOANICO CIRILO DE ABREU, 285 INDEPENDENCIA. 30672-200 Belo Horizonte - MG.",(31) 33856107,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atividade Complementar,-20.0194068,-44.0344653
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSOR ALCINDO VIEIRA,31000621,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"PRACA BERNARDO DA VEIGA, 0 NOVA CACHOEIRINHA. 31250-340 Belo Horizonte - MG.",(31) 34281611,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-19.8833874,-43.9586345
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE MAURICIO MURGEL,31000639,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA AMAZONAS, 5154 NOVA SUICA. 30421-056 Belo Horizonte - MG.",(31) 33726086,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atendimento Educacional Especializado,-19.9293682,-43.9783133
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE SARAH KUBITSCHEK ITAMARATI,31000647,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ANITA BLUMBERG, 61 OURO PRETO. 31340-150 Belo Horizonte - MG.",(31) 34983108,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-19.8681959,-43.9876562
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DO INSTITUTO AGRONOMICO,31000655,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SANTO AGOSTINHO, 1535 INSTITUTO AGRONOMICO. 31035-480 Belo Horizonte - MG.",(31) 34674277,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-19.89812,-43.91308
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE ALZIRA ALBUQUERQUE MOSQUEIRA,31000663,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PROFESSOR CICERO PEREIRA, 69 SALGADO FILHO. 30550-660 Belo Horizonte - MG.",(31) 33121388,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-19.94871888,-43.97940913
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE CARLOS CAMPOS,31000671,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JORN OSVALDINA NOBRE, 100 EYMARD. 31930-660 Belo Horizonte - MG.",(31) 36564074,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-19.8605447,-43.9165879
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,EE DONA ARGENTINA VIANNA CASTELO BRANCO,31000680,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ORIENTE, 758 SERRA. 30220-270 Belo Horizonte - MG.",(31) 21181985,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Educação de Jovens Adultos,,-19.9444409,-43.9190503
